*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=¹âÃô×·¹âÆ÷
*Date=09:44:28
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;47.5343;-67.3798;0;Bottom;Hole15
2;220;THT;52.6143;-8.95979;-90;Bottom;R23
3;;;62.7743;-21.6598;0;Bottom;Hole83
4;;;42.4543;-64.8399;0;Bottom;Hole108
5;;;42.4543;-67.3798;0;Bottom;Hole17
6;;;39.9143;-67.3798;0;Bottom;Hole18
7;;DIP (Dual Inline) [THT];64.0443;-81.3498;90;Bottom;IC8
8;3V;;58.9643;-72.4598;-90;Bottom;VCC5
9;;;29.7543;-21.6598;0;Bottom;Hole75
10;;;9.43431;-67.3798;0;Bottom;Hole30
11;;;42.4543;-62.2998;0;Bottom;Hole109
12;;;6.89439;-21.6598;0;Bottom;Hole94
13;;;1.81431;-44.5198;0;Bottom;Hole65
14;;;50.0743;-21.6598;0;Bottom;Hole93
15;;THT;37.3743;-78.8098;90;Bottom;R16
16;;;32.2942;-44.5198;0;Bottom;Hole40
17;;;29.7542;-44.5198;0;Bottom;Hole42
18;;;42.4543;-57.2198;0;Bottom;Hole111
19;220;THT;52.6143;-54.6798;-90;Bottom;R22
20;;;32.2943;-21.6598;0;Bottom;Hole73
21;;THT;80.5543;-33.0898;90;Bottom;R30
22;;;65.3143;-21.6598;0;Bottom;Hole81
23;;;42.4543;-74.9998;0;Bottom;Hole105
24;;;25.9443;-3.87979;90;Bottom;M1
25;;;4.35431;-67.3798;0;Bottom;Hole32
26;;;50.0742;-44.5198;0;Bottom;Hole60
27;;;11.9743;-21.6598;0;Bottom;Hole89
28;;;71.8762;-6.08037;0;Bottom;Via7
29;;DIP (Dual Inline) [THT];20.8643;-35.6298;90;Bottom;IC2
30;;;14.5142;-44.5198;0;Bottom;Hole54
31;3V;;15.7843;-26.7398;-90;Bottom;VCC2
32;;;47.5342;-44.5198;0;Bottom;Hole63
33;;;42.4543;-3.8797;0;Bottom;Hole130
34;;;52.6142;-44.5198;0;Bottom;Hole59
35;;DIP (Dual Inline) [THT];20.8643;-12.7698;90;Bottom;IC1
36;;THT;47.5343;-33.0898;90;Bottom;R26
37;;DIP (Dual Inline) [THT];20.8643;-58.4898;90;Bottom;IC3
38;;;44.9943;-21.6598;0;Bottom;Hole97
39;;;17.0543;-67.3798;0;Bottom;Hole27
40;;;78.0143;-21.6598;0;Bottom;Hole72
41;;;42.4543;-54.6798;0;Bottom;Hole112
42;;THT;80.5543;-78.8098;90;Bottom;R29
43;;;72.9343;-21.6598;0;Bottom;Hole76
44;;;34.8342;-44.5198;0;Bottom;Hole38
45;;;50.0743;-67.3798;0;Bottom;Hole14
46;;;42.4543;-39.4398;0;Bottom;Hole117
47;;;57.6943;-21.6598;0;Bottom;Hole88
48;3V;;15.7843;-3.87979;-90;Bottom;VCC1
49;;;11.9743;-67.3798;0;Bottom;Hole29
50;;;42.4543;-52.1398;0;Bottom;Hole113
51;;;24.6742;-44.5198;0;Bottom;Hole46
52;;;69.1243;-49.5998;90;Bottom;M8
53;220;THT;9.43431;-54.6798;-90;Bottom;R10
54;;;62.7743;-67.3798;0;Bottom;Hole9
55;10;THT;75.4743;-54.6798;90;Bottom;R17
56;;;32.2943;-67.3798;0;Bottom;Hole21
57;;THT;80.5543;-55.9498;90;Bottom;R31
58;;THT;37.3743;-33.0898;90;Bottom;R8
59;;;37.3743;-21.6598;0;Bottom;Hole69
60;;;42.4543;-6.4197;0;Bottom;Hole129
61;;;80.5543;-67.3798;0;Bottom;Hole2
62;;;22.1342;-44.5198;0;Bottom;Hole49
63;;;39.9142;-44.5198;0;Bottom;Hole34
64;;;42.4543;-82.6198;0;Bottom;Hole102
65;;;44.9942;-44.5198;0;Bottom;Hole64
66;;;69.1243;-26.7398;90;Bottom;M7
67;;;9.43431;-44.5198;0;Bottom;Hole58
68;;;42.4543;-14.0397;0;Bottom;Hole126
69;;;34.8343;-21.6598;0;Bottom;Hole71
70;3V;;15.7843;-72.4598;-90;Bottom;VCC4
71;;;27.2142;-44.5198;0;Bottom;Hole45
72;;;67.8542;-44.5198;0;Bottom;Hole47
73;;;67.8543;-67.3798;0;Bottom;Hole7
74;;;17.0543;-21.6598;0;Bottom;Hole85
75;;;44.9943;-67.3798;0;Bottom;Hole16
76;10;THT;32.2943;-54.6798;90;Bottom;R9
77;;;69.1243;-3.87979;90;Bottom;M6
78;;;6.89431;-67.3798;0;Bottom;Hole31
79;;DIP (Dual Inline) [THT];20.8643;-81.3498;90;Bottom;IC4
80;;;9.43439;-21.6598;0;Bottom;Hole91
81;3V;;58.9643;-26.7398;-90;Bottom;VCC6
82;;THT;4.35431;-55.9498;90;Bottom;R11
83;;;75.4743;-21.6598;0;Bottom;Hole74
84;;;42.4543;-26.7398;0;Bottom;Hole122
85;;;65.3142;-44.5198;0;Bottom;Hole48
86;;DIP (Dual Inline) [THT];64.0443;-58.4898;90;Bottom;IC6
87;;;42.4543;-59.7598;0;Bottom;Hole110
88;;;1.81431;-67.3798;0;Bottom;Hole33
89;;;25.9443;-72.4598;90;Bottom;M4
90;;;60.2342;-44.5198;0;Bottom;Hole53
91;;;42.4543;-72.4598;0;Bottom;Hole106
92;;;83.0943;-21.6598;0;Bottom;Hole68
93;;;52.6143;-67.3798;0;Bottom;Hole13
94;;;27.2143;-21.6598;0;Bottom;Hole78
95;;;42.4543;-29.2798;0;Bottom;Hole121
96;;;42.4543;-87.6998;0;Bottom;Hole100
97;;;4.35439;-21.6598;0;Bottom;Hole95
98;;;42.4543;-1.3397;0;Bottom;Hole131
99;;;4.35431;-44.5198;0;Bottom;Hole62
100;;;72.9342;-44.5198;0;Bottom;Hole43
101;;;70.3942;-44.5198;0;Bottom;Hole44
102;;;42.4543;-31.8198;0;Bottom;Hole120
103;;;70.3943;-21.6598;0;Bottom;Hole77
104;;;42.4543;-16.5797;0;Bottom;Hole125
105;;THT;47.5343;-55.9498;90;Bottom;R27
106;3V;;15.7843;-49.5998;-90;Bottom;VCC3
107;;;14.5143;-67.3798;0;Bottom;Hole28
108;220;THT;52.6143;-77.5398;-90;Bottom;R21
109;;;52.6143;-21.6598;0;Bottom;Hole92
110;;;83.0943;-67.3798;0;Bottom;Hole1
111;;;28.6962;-28.9404;0;Bottom;Via2
112;;;22.1343;-21.6598;0;Bottom;Hole82
113;;;42.4543;-49.5998;0;Bottom;Hole114
114;;;57.6943;-67.3798;0;Bottom;Hole11
115;;;42.4543;-80.0798;0;Bottom;Hole103
116;;;14.5143;-21.6598;0;Bottom;Hole87
117;;THT;80.5543;-10.2298;90;Bottom;R32
118;220;THT;52.6143;-31.8198;-90;Bottom;R24
119;;;55.1543;-21.6598;0;Bottom;Hole90
120;;;62.7742;-44.5198;0;Bottom;Hole50
121;;;19.5943;-67.3798;0;Bottom;Hole26
122;;;28.6962;-74.6604;0;Bottom;Via4
123;10;THT;75.4743;-8.95979;90;Bottom;R18
124;;;19.5942;-44.5198;0;Bottom;Hole51
125;;;25.9443;-49.5998;90;Bottom;M3
126;220;THT;9.43431;-8.95979;-90;Bottom;R2
